11907;CCBPFRPPCFD;BANQUE POPULAIRE DU MASSIF CENTRAL
11938;AGFCFR21XXX;AGCO FINANCE SNC
11960;CGFFFR21XXX;CIT FRANCE SAS
11978;CMCIFRP1FAC;CM CIC FACTOR
11989;POUYFR21XXX;BANQUE POUYANNE
11999;UBSWMCMXXXX;UBS MONACO
12006;AGRIFRPP820;CREDIT AGRICOLE DE LA CORSE
12008;SOSTFR21XXX;SOFISCOP SUD EST
12043;BRGAFRP1XXX;BRYAN GARNIER ET CO LIMITED
12050;CMOIFR21XXX;CREDIT MODERNE OCEAN INDIEN
12088;CRGEFR2XXXX;BANCA CARIGE CASSA RISPARMIO DI GENOVA
12110;CMVMFRP1XXX;CMV MEDIFORCE
12128;SOPMFRP1XXX;STE CENTRALE PR FINT IMMOBILIER SOCFIM
12135;CEPAFRPP213;CAISSE D EPARGNE BOURGOGNE FRANCHE COMTE
12138;CAFFFR21XXX;CATERPILLAR FINANCE FRANCE S.A.
12148;OPEUFRP1XXX;SG OPTION EUROPE
12149;BPOLPFTP;BANQUE DE POLYNESIE
12169;REUBRERXXXX;BANQUE DE LA REUNION
12179;BIARFRPPXXX;BANQUE BIA
12206;AGRIFRPP822;CREDIT AGRICOLE DES COTES D ARMOR
12239;CEPAPFTPXXX;BANQUE DE TAHITI
12240;AGFBFRCCXXX;ALLIANZ BANQUE
12249;BMCEFRPPXXX;BMCE BANK INTERNATIONAL PLC
12258;FISLFR21XXX;CREDIT IMMOBILIER DE FRANCE SUD OUEST
12280;SORMFR2NXXX;SOCRAM BANQUE
12298;FRCIFR21XXX;CREDIT IMMOBILIER DE FRANCE BRETAGNE
12308;CIRNFR21XXX;CREDIT IMMOBILIER DE FRANCE NORD
12318;FRCOFR21XXX;FINANCIERE REGIONALE CREDITS IMMOB EST
12338;FRHBFR21XXX;CREDIT IMMOBILIER DE FRANCE CENTRE EST
12398;CIFEFR21XXX;CREDIT IMMOBILIER FRANCE CENTRE OUEST
12406;AGRIFRPP824;CREDIT AGRICOLE CHARENTE PERIGORD
12418;CIFRFR21XXX;CREDIT IMMOBILIER DE FRANCE OUEST
12420;CCMSFR21XXX;CSSE CIT MUNICIPAL DE REIMS
12438;SSFAFRP1XXX;SOFIAP-STE FINAN PR ACCESSION PROPRIETE
12448;BARCMCMXXXX;BARCLAYS BANK PLC MONACO
12453;ODDOFRPPXXX;ODDO CONTREPARTIE
12468;BCGEFR21XXX;BANQUE CANTONALE DE GENEVE (FRANCE) S A
12478;FPLRFR21;FCE BANK PLC
12500;SOIEFR21XXX;SOCIETE DE FINANCEMENT DE LA MEUNERIE
12506;AGRIFRPP825;CREDIT AGRICOLE FRANCHE COMTE
12518;BASKFR21;KUTXABANK
12543;CFILFRP1XXX;CANTOR FITZGERALD EUROPE
12548;AXABFRPPXXX;AXA BANQUE
12549;LCNDFRP1XXX;LOCINDUS S A
12558;VFFFFRP1XXX;VFS FINANCE FRANCE
12579;BPSMFRPPXXX;BANQUE BCP
12589;BBPIFRPPXXX;BANCO BPI
12619;CGDIFRPPXXX;CAIXA GERAL DE DEPOSITOS
12648;SGEUFRP1XXX;SG EURO C T
12658;EHSCFR2PXXX;EULER HERMES CREDIT FRANCE
12670;SOIBFRP1XXX;SOCIETE FINANCIERE ET MOBILIERE
12739;CFMOMCMXXXX;CREDIT FONCIER DE MONACO
12748;SOSNFR21XXX;SOGEFINANCEMENT
12749;NABIFRP1XXX;NATIXIS BAIL
12779;BROLFRP1XXX;BRED COFILEASE
12818;IFCIFRP1XXX;INST PR FINT CINE ET IND CULT I F C I C
12828;SFEGFR21XXX;STE FIRE ENTREPRISES DU GARD SOFIGARD
12853;EUFEFRP1XXX;EURASIA FINANCE
12879;DELUFR22XXX;BANQUE DELUBAC ET CIE
12906;AGRIFRPP829;CREDIT AGRICOLE DU FINISTERE
12938;SOBOFR21XXX;SUD OUEST BAIL
12939;BDUPFR2SXXX;BANQUE DUPUY DE PARSEVAL
12978;FIGTFRP1XXX;JCB FINANCE
13018;BAYLFR21XXX;BATIROC BRETAGNE PAYS DE LOIRE
13028;SGFGFRP1XXX;STE GESTION FONDS GARANTIE OUTRE MER
13038;FIEMFRP1XXX;FIDEM
13070;CMCIFRP1BAE;CM CIC BAIL
13078;BNPAGPGXXXX;BNP PARIBAS GUADELOUPE
13088;BNPAMQMXXXX;BNP PARIBAS MARTINIQUE
13106;AGRIFRPP831;CREDIT AGRICOLE DE TOULOUSE 31
13118;LBBLFR21XXX;LBS LANDESBAUSPARKASSE BADEN WURTTEMBERG
13128;COAIFRP1XXX;COFICA BAIL
13135;CEPAFRPP313;CAISSE D EPARGNE DE MIDI PYRENEES
13148;CLBQFRCCXXX;DEXIA CLF BANQUE
13149;EDELFRP1XXX;BANQUE EDEL SNC
13150;LIXBFRP1;LIXXBAIL
13158;FAGFFRP1XXX;FRANCE ACTIVE GARANTIE FAG S A
13168;PSABFRPP;BANQUE PSA FINANCE
13179;FIDCFR21XXX;BANQUE FIDUCIAL
13188;CPPTFRP1XXX;B CAPITAL
13198;FRTFFRP1XXX;FRANKLIN TEMPLETON FRANCE S A
13210;AGRIFRP1LEA;CREDIT AGRICOLE LEASING & FACTORING
13220;SCREFRP1XXX;STE COOP RENOVATION EQUIP DU COM SOCOREC
13259;KOLBFR21;BANQUE KOLB
13298;CMCIFR21BCM;BANQUE COM DU MARCHE NORD EUROPE BCMNE
13306;AGRIFRPP833;CREDIT AGRICOLE D AQUITAINE
13335;CEPAFRPP333;CAISSE D EPARGNE AQUITAINE POITOU CHARENTES
13338;KBLXMCMCXXX;KBL MONACO PRIVATE BANKERS S A M
13343;JPMSGB2L;J P MORGAN SECURITIES
13368;SGBTMCMCXXX;SOCIETE GENERALE PRIVATE BANKING(MONACO)
13369;BMMMFR2AXXX;BANQUE MARTIN MAUREL
